Publication Number,Title,Priority Date,Publication Date,Primary Layer,Secondary Layers,Autonomy Signal,Matched Keywords,Autonomy Terms,Abstract
CN118412782A,A rigid crossing support and crossing method for overhead power transmission line construction,2024-05-23,2024-07-30,L8 Remote Operations,,N,[strong]remote control,,"The present invention belongs to the technical field of overhead line crossing supports, specifically a rigid crossing support and a crossing method for overhead power transmission line construction, including a support seat as a connection base, a lifting component placed on the support seat, changing the overall structure height, realizing a telescopic function to adapt to operations at differen"
CN118358374A,A braking method and related device for an electrically driven unmanned platform,2024-05-24,2024-07-19,L8 Remote Operations,,Y,[strong]remote control,unmanned,"The present invention discloses a braking method and related devices for an electric-driven unmanned platform. The present invention controls the flow of hydraulic oil output by a hydraulic pump according to the rotational speed of a traveling motor, controls the hydraulic braking force by the flow of hydraulic oil and the stroke of a remote control handle, and realizes matched rapid deceleration."
CN118457711A,"A composite steering mechanism, system, control method and wheeled engineering vehicle",2024-06-13,2024-08-09,L8 Remote Operations,,N,[strong]remote control,,"The present invention discloses a composite steering mechanism, system, control method and wheeled engineering vehicle. The composite steering mechanism includes: an articulated steering mechanism, a front axle steering mechanism and an articulated locking mechanism; the composite steering system includes: a power steering control system, an electro-hydraulic proportional steering control system, "
CN223346893U,A movable and portable remote debugging operation box,2024-06-17,2025-09-16,L8 Remote Operations,,N,[strong]remote operation,,"The utility model proposes a movable and portable remote debugging operation box, comprising: a box body and multiple electronic components integrated in the box body; the electronic components include a circuit breaker, a switching power supply, a wireless gateway, a power supply terminal, a CAN bus terminal and a CAN bus monitoring box; one end of the circuit breaker is connected to an external "
CN118860058A,A single-lever remote control method and system for driving a double-sided independently driven crawler chassis,2024-07-12,2024-10-29,L8 Remote Operations,,N,[strong]remote control,,"The present invention discloses a single-lever remote control method and system for a double-sided independently driven crawler chassis in the technical field of crawler chassis remote control, and is intended to solve the problem in the prior art that two rockers are usually used to control the movement of the chassis when controlling the crawler chassis independently driven on both sides, that i"
CN119911813A,A kind of lifting device of sliding arm mechanism and its using method,2024-12-16,2025-05-02,L8 Remote Operations,,N,[strong]remote control,,"The present invention discloses a lifting device of a sliding arm mechanism, comprising a lifting mechanism, a boom assembly, a slewing mechanism, a sliding guide rail, and a moving mechanism. Two sliding guide rails are provided, which are installed in parallel and spaced apart at the upper part of the cabin of a square cabin. A moving mechanism is arranged between the two sliding guide rails, an"
CN119593465A,"Automatic return-to-center control method, device and system for loader steering",2024-12-19,2025-03-11,L8 Remote Operations,,N,[strong]remote control,,"The present invention discloses a method, device and system for controlling the automatic return to center of a loader steering. The method comprises obtaining the real-time angle between the front vehicle body and the rear vehicle body; judging whether it is necessary to execute the automatic return to center mode of steering according to the return to center button state signal, the steering han"
CN119723717A,Two-chamber keyless entry control system and method for crane,2024-12-23,2025-03-28,L8 Remote Operations,,N,[strong]remote control,,"The present invention discloses a two-chamber keyless entry control system and method for a crane, wherein the two-chamber keyless entry control system for a crane comprises a remote control key, a cab control unit and a control room control unit; the cab control unit and the control room control unit are arranged on the crane; when the remote control key is connected to the cab control unit, the "
CN120431707A,Wireless remote control box and machine,2025-03-26,2025-08-05,L8 Remote Operations,,N,[strong]remote control,,"The present invention discloses a wireless remote control box and a machine. The wireless remote control box is configured to have different postures during operation and grounding, and the operation posture and grounding posture have different angles. The wireless remote control box has an inclination sensor for detecting the angle of the wireless remote control box and feeding it back to a remot"
CN120575826A,A remote control system for a fracturing truck based on MODBUS TCP protocol and its working method,2025-06-13,2025-09-02,L8 Remote Operations,,N,[strong]remote control,,"The present invention discloses a fracturing truck remote control system based on the MODBUS TCP protocol and its working method, which specifically includes: a host computer, a switch, a gateway, a controller, and a fracturing truck executive component; the host computer and the switch communicate via wired or wireless means; the switch and the gateway communicate via wired or wireless means; the"
CN120592080A,A method and system for automatically following construction and transferring of an unmanned road roller,2025-06-19,2025-09-05,L8 Remote Operations,L1 Perception,Y,[strong]remote control | [weak+aut]\bradar\b,unmanned,"The present invention discloses a method and system for automatic following construction and transfer of unmanned rollers, including: using laser radar to identify the status and position of the rollers and obtain the distance information of the left and right edges of the front roller; obtaining the status of the rear vehicle through remote control software and remotely controlling the rear vehic"
CN120808585A,A mobile power vehicle wireless remote control system and control method thereof,2025-07-25,2025-10-17,L8 Remote Operations,,N,[strong]remote control,,"The present invention discloses a wireless remote control system for a mobile power supply vehicle and a control method thereof in the technical field of mobile power supply vehicles, aiming to solve the problem that the existing technology cannot realize remote control of the mobile power supply vehicle, resulting in great inconvenience to the command center personnel and operators in special sce"
CN121106299A,Multifunctional chassis platform driving mode control system and control method,2025-08-22,2025-12-12,L8 Remote Operations,,N,[strong]remote control,,This invention provides a multi-functional chassis platform driving mode control system and control method. The system includes: a remote control device for generating control signals in response to driver actions; a multi-functional chassis platform connected to the remote control device for executing actions according to the control signals; the multi-functional chassis platform includes a remot
CN121024570A,Dual-loop control architecture of remote control system for horizontal directional drilling rig and horizontal directional drilling rig,2025-09-19,2025-11-28,L8 Remote Operations,,N,[strong]remote control,,This invention discloses a dual-loop control architecture for a remote control system of a horizontal directional drilling rig and the horizontal directional drilling rig itself. The dual-loop control architecture includes a functional safety loop and a network security loop that achieve data interaction and coordinated response through an edge gateway. The functional safety loop is used to monito
CN121701025A,"A remote-controlled lock, a lock system for the cab of construction machinery, and a door system.",2025-12-16,2026-03-20,L8 Remote Operations,,N,[strong]remote control,,"This invention discloses a remote-controlled lock, a lock system for the cab of engineering machinery, and a door system in the field of engineering machinery. The remote-controlled lock includes a lock base and a movable handle. One end of the movable handle is rotatably connected to the lock base, and the other end is connected to a handle rod. A latch limiting groove is provided between the mov"
CN121830098A,A digital testing platform and testing method for engineering machinery test fields,2026-01-20,2026-04-10,L8 Remote Operations,,Y,[strong]remote control,automated (control|operat|excavat|dig|grad|steer|drive|travel|navigat|guid|machine),"This invention discloses a digital testing platform and method for engineering machinery test sites. The platform includes a wireless communication module, a data acquisition module, an integrated control module, an image recording module, and a data hub module. This invention constructs an independent wireless network through a self-organizing network of MESH master nodes deployed at the test sit"
CN121719279A,"A method, device and storage medium for safe remote control of a grader",2026-02-09,2026-03-24,L8 Remote Operations,,N,[strong]remote control,,"This invention discloses a safe remote control method, device, and storage medium for a grader in the field of construction machinery remote control technology. The method includes: in response to both the remote cab and the grader switching to remote control mode, acquiring the current status signals of the handle, controller, pedals, and CPE network at the remote cab; and controlling the operati"
